dataset_split,run_type,model_id,taxonomy_condition,n,strict_macro_f1,strict_mcc,strict_balanced_accuracy,strict_accuracy,strict_invalid_rate,lenient_macro_f1,lenient_invalid_rate
test,robustness,kimi-k2.7-code,T2,1350,0.6857860631587563,0.5883563861286794,0.702962962962963,0.702962962962963,0.008148148148148147,0.6857860631587563,0.008148148148148147
test,robustness,kimi-k2.7-code,T4,1350,0.6960069036713689,0.6061125822132376,0.7140740740740741,0.7140740740740741,0.007407407407407408,0.6960069036713689,0.007407407407407408
train,technical-pretest,deepseek-v4-flash,T2,5,0.2962962962962963,0.0,0.8,0.8,0.0,0.2962962962962963,0.0
train,technical-pretest,glm-5.2,T2,5,0.2962962962962963,0.0,0.8,0.8,0.0,0.2962962962962963,0.0
train,technical-pretest,kimi-k2.7-code,T2,5,0.2962962962962963,0.0,0.8,0.8,0.0,0.2962962962962963,0.0
train,train-selection,deepseek-v4-flash,T0,1500,0.6974133895646331,0.5994850389159557,0.7106666666666667,0.7106666666666667,0.0026666666666666666,0.6974133895646331,0.0026666666666666666
train,train-selection,deepseek-v4-flash,T1,1500,0.6808395929862582,0.5650264751892263,0.6873333333333335,0.6873333333333334,0.019333333333333334,0.6808395929862582,0.019333333333333334
train,train-selection,deepseek-v4-flash,T2,1500,0.6906385356657122,0.5808757301250882,0.7000000000000001,0.7,0.011333333333333334,0.6906385356657122,0.011333333333333334
train,train-selection,deepseek-v4-flash,T3,1500,0.6769876145449721,0.5676458517051983,0.6880000000000001,0.688,0.016,0.6774619805365795,0.014
train,train-selection,deepseek-v4-flash,T4,1500,0.6787545363322655,0.5669360951453883,0.6866666666666666,0.6866666666666666,0.024,0.6787545363322655,0.024
train,train-selection,glm-5.2,T0,1500,0.7275254447760385,0.626223574714699,0.7346666666666666,0.7346666666666667,0.0006666666666666666,0.7275254447760385,0.0006666666666666666
train,train-selection,glm-5.2,T1,1500,0.713843461288593,0.6103112198964523,0.7226666666666667,0.7226666666666667,0.005333333333333333,0.713982411463689,0.004
train,train-selection,glm-5.2,T2,1500,0.694872544397755,0.591120821001904,0.7073333333333333,0.7073333333333334,0.0026666666666666666,0.6952019967582631,0.002
train,train-selection,glm-5.2,T3,1500,0.7044051482095185,0.6016250449063898,0.7160000000000001,0.716,0.0013333333333333333,0.7044051482095185,0.0013333333333333333
train,train-selection,glm-5.2,T4,1500,0.7058450871877415,0.6026424539373733,0.7173333333333334,0.7173333333333334,0.0006666666666666666,0.7058450871877415,0.0006666666666666666
train,train-selection,kimi-k2.7-code,T0,1500,0.736829470031673,0.6344824491999065,0.742,0.742,0.0013333333333333333,0.736829470031673,0.0013333333333333333
train,train-selection,kimi-k2.7-code,T1,1500,0.7130823384327781,0.6073105782314531,0.7186666666666667,0.7186666666666667,0.016666666666666666,0.7130823384327781,0.016666666666666666
train,train-selection,kimi-k2.7-code,T2,1500,0.7064529165872516,0.6070777774474414,0.7146666666666667,0.7146666666666667,0.016666666666666666,0.7064529165872516,0.016666666666666666
train,train-selection,kimi-k2.7-code,T3,1500,0.6905923315143211,0.5918423935466272,0.702,0.702,0.018666666666666668,0.6905923315143211,0.018666666666666668
train,train-selection,kimi-k2.7-code,T4,1500,0.7039816474689707,0.6021144232886784,0.7126666666666667,0.7126666666666667,0.014,0.7039816474689707,0.014
