model_id,repository,taxonomy_condition,macro_f1,mcc,balanced_accuracy,invalid_rate,n
kimi-k2.7-code,bitcoin/bitcoin,T2,0.7070890947110279,0.6293366224303905,0.73,0.006666666666666667,300
kimi-k2.7-code,bitcoin/bitcoin,T3,0.6892061037789681,0.613579347422139,0.7166666666666667,0.0033333333333333335,300
kimi-k2.7-code,bitcoin/bitcoin,T4,0.6969421185218206,0.6123165250585113,0.7166666666666667,0.02,300
kimi-k2.7-code,facebook/react,T0,0.7901740779176193,0.709432653417763,0.7933333333333333,0.0,300
kimi-k2.7-code,facebook/react,T1,0.788297571993224,0.7091748346117852,0.7933333333333333,0.0033333333333333335,300
kimi-k2.7-code,facebook/react,T2,0.7500833741163349,0.666639821929902,0.7599999999999999,0.006666666666666667,300
kimi-k2.7-code,facebook/react,T3,0.770653748436378,0.6851428326200584,0.7733333333333333,0.016666666666666666,300
kimi-k2.7-code,facebook/react,T4,0.755617730963353,0.6702378657048056,0.7633333333333333,0.0033333333333333335,300
kimi-k2.7-code,microsoft/vscode,T0,0.6400966051492367,0.5809462093324052,0.6866666666666666,0.0,300
kimi-k2.7-code,microsoft/vscode,T1,0.6232037149402222,0.5596452747549527,0.6699999999999999,0.006666666666666667,300
kimi-k2.7-code,microsoft/vscode,T2,0.6181558765828429,0.5554147503782233,0.6666666666666666,0.01,300
kimi-k2.7-code,microsoft/vscode,T3,0.5912276190826018,0.5349388204274539,0.6499999999999999,0.016666666666666666,300
kimi-k2.7-code,microsoft/vscode,T4,0.599947729626654,0.539410503201125,0.6533333333333333,0.013333333333333334,300
kimi-k2.7-code,opencv/opencv,T0,0.7740641711229946,0.6813302157153978,0.7733333333333334,0.0,300
kimi-k2.7-code,opencv/opencv,T1,0.7386347061534781,0.633650328535781,0.7366666666666667,0.02,300
kimi-k2.7-code,opencv/opencv,T2,0.723210724381319,0.6226920342478472,0.7266666666666666,0.0033333333333333335,300
kimi-k2.7-code,opencv/opencv,T3,0.7223047629836664,0.624393105240218,0.7266666666666667,0.01,300
kimi-k2.7-code,opencv/opencv,T4,0.7035742035742035,0.6070390793268186,0.7133333333333334,0.006666666666666667,300
kimi-k2.7-code,tensorflow/tensorflow,T0,0.7876256297308929,0.6904709844960701,0.7866666666666667,0.0,300
kimi-k2.7-code,tensorflow/tensorflow,T1,0.7325724132146969,0.6168678438424148,0.73,0.016666666666666666,300
kimi-k2.7-code,tensorflow/tensorflow,T2,0.7365217683033073,0.6238357856491679,0.7333333333333334,0.023333333333333334,300
kimi-k2.7-code,tensorflow/tensorflow,T3,0.7249004463417238,0.6217811329883323,0.7266666666666666,0.02,300
kimi-k2.7-code,tensorflow/tensorflow,T4,0.7313092850841754,0.6154433656673712,0.7266666666666666,0.02666666666666667,300
